7.29	0.00	3.50	0.00	1.98	0.00
7.83	0.00	4.10	0.00	2.16	0.00
8.28	0.00	4.50	0.00	2.34	0.00
8.82	0.00	5.00	0.00	2.43	0.00
8.64	0.00	4.40	0.00	2.52	0.00
8.19	0.00	3.60	0.00	2.52	0.00
8.28	0.00	3.60	0.00	2.61	0.00
7.92	0.00	3.10	0.00	2.70	0.00
8.10	0.00	3.20	0.00	2.70	0.00
21.24	0.00	5.20	0.00	12.51	0.00
18.45	0.00	4.90	0.00	11.07	0.00
16.11	0.00	5.20	0.00	9.81	0.00
14.31	0.00	4.20	0.00	8.82	0.00
12.51	0.18	3.80	0.00	7.83	0.00
10.80	0.36	3.30	0.00	7.02	0.00
9.36	0.72	3.50	0.00	5.76	0.00
9.63	0.54	3.30	0.00	5.67	0.00
9.99	0.36	2.80	0.00	5.76	0.00
11.16	0.18	3.40	0.00	6.03	0.00
2.25	0.00	2.20	0.00	0.09	0.00
3.24	0.00	3.20	0.00	0.27	0.00
3.60	0.00	3.40	0.00	0.45	0.00
4.14	0.00	3.80	0.00	0.72	0.00
4.86	0.00	4.00	0.00	0.99	0.00
5.40	0.00	4.10	0.00	1.26	0.00
5.67	0.00	3.90	0.00	1.44	0.00
6.48	0.00	4.70	0.00	1.62	0.00
6.93	0.00	5.20	0.00	1.80	0.00
7.29	0.00	5.00	0.00	1.98	0.00
7.65	0.00	5.80	0.00	2.07	0.00
7.92	0.00	5.30	0.00	2.25	0.00
8.28	0.00	5.80	0.00	2.34	0.00
8.46	0.00	5.30	0.00	2.43	0.00
21.51	0.00	7.00	0.00	12.51	0.00
18.09	0.00	5.30	0.00	11.07	0.00
15.30	0.00	4.50	0.00	9.45	0.00
14.13	0.00	4.20	0.00	8.55	0.00
11.70	0.36	3.20	0.00	7.74	0.00
10.80	0.54	3.00	0.00	7.29	0.00
9.54	0.54	3.20	0.00	6.66	0.00
10.26	0.54	2.80	0.00	6.39	0.00
11.07	0.36	3.20	0.00	6.48	0.00
11.25	0.18	2.80	0.00	6.48	0.00
12.15	0.00	3.50	0.00	6.57	0.00
12.69	0.00	4.50	0.00	6.57	0.00
2.43	0.00	2.50	0.00	0.09	0.00
3.60	0.00	4.50	0.00	0.18	0.00
3.69	0.00	3.30	0.00	0.45	0.00
4.23	0.00	3.30	0.00	0.72	0.00
4.68	0.00	3.30	0.00	0.99	0.00
4.86	0.00	3.00	0.00	1.17	0.00
5.49	0.00	3.40	0.00	1.35	0.00
5.85	0.00	3.70	0.00	1.53	0.00
5.85	0.00	3.20	0.00	1.62	0.00
5.67	0.00	2.60	0.00	1.80	0.00
5.94	0.00	2.70	0.00	1.89	0.00
6.12	0.00	2.70	0.00	1.98	0.00
17.55	0.00	3.30	0.00	10.53	0.00
16.47	0.18	4.00	0.00	9.18	0.00
13.77	0.18	3.40	0.00	7.47	0.00
13.05	0.18	3.60	0.00	6.75	0.00
12.33	0.18	3.50	0.00	6.30	0.00
11.97	0.18	3.80	0.00	5.85	0.00
11.79	0.18	3.70	0.00	5.67	0.00
10.89	0.18	2.90	0.00	5.31	0.00
10.89	0.18	3.00	0.00	5.13	0.00
2.34	0.00	1.70	0.00	0.09	0.00
3.24	0.00	2.40	0.00	0.18	0.00
3.78	0.00	2.50	0.00	0.45	0.00
4.14	0.00	2.60	0.00	0.63	0.00
4.50	0.00	2.70	0.00	0.81	0.00
5.04	0.00	3.20	0.00	0.99	0.00
5.31	0.00	3.40	0.00	1.17	0.00
5.49	0.00	3.20	0.00	1.26	0.00
5.85	0.00	3.60	0.00	1.44	0.00
6.12	0.00	3.60	0.00	1.53	0.00
6.39	0.00	3.80	0.00	1.71	0.00
6.39	0.00	3.60	0.00	1.80	0.00
6.57	0.00	3.50	0.00	1.89	0.00
6.93	0.00	3.80	0.00	1.98	0.00
20.07	0.00	6.70	0.00	10.53	0.00
17.55	0.00	5.60	0.00	9.72	0.00
14.58	0.00	4.50	0.00	8.55	0.00
13.14	0.00	3.90	0.00	8.10	0.00
13.05	0.00	4.20	0.00	7.83	0.00
12.42	0.00	3.90	0.00	7.38	0.00
11.97	0.00	3.80	0.00	7.02	0.00
11.16	0.18	3.30	0.00	6.57	0.00
2.34	0.00	2.30	0.00	0.18	0.00
2.70	0.00	2.40	0.00	0.27	0.00
2.43	0.00	1.50	0.00	0.45	0.00
2.61	0.00	1.60	0.00	0.63	0.00
3.42	0.00	2.40	0.00	0.99	0.00
4.41	0.00	3.00	0.00	1.26	0.00
4.77	0.00	2.80	0.00	1.44	0.00
5.04	0.00	2.60	0.00	1.62	0.00
5.94	0.00	3.30	0.00	1.80	0.00
6.30	0.00	3.10	0.00	1.98	0.00
7.02	0.00	3.70	0.00	2.16	0.00
7.11	0.00	3.40	0.00	2.25	0.00
7.47	0.00	3.60	0.00	2.43	0.00
7.47	0.00	3.20	0.00	2.52	0.00
7.83	0.00	3.50	0.00	2.61	0.00
8.19	0.00	3.70	0.00	2.70	0.00
8.46	0.00	4.00	0.00	2.79	0.00
7.02	0.00	2.90	0.00	2.79	0.00
5.85	0.00	2.50	0.00	2.79	0.00
5.67	0.00	3.30	0.00	2.79	0.00
5.13	0.00	2.40	0.00	2.79	0.00
5.13	0.00	2.00	0.00	2.70	0.00
5.58	0.00	2.60	0.00	2.61	0.00
5.22	0.00	2.20	0.00	2.52	0.00
5.67	0.00	3.10	0.00	2.52	0.00
5.76	0.00	3.30	0.00	2.52	0.00
5.31	0.00	2.60	0.00	2.52	0.00
6.03	0.00	3.60	0.00	2.61	0.00
6.57	0.00	3.80	0.00	2.70	0.00
7.29	0.00	5.00	0.00	2.79	0.00
7.56	0.00	4.70	0.00	2.79	0.00
7.83	0.00	4.90	0.00	2.79	0.00
8.19	0.00	4.80	0.00	2.88	0.00
8.46	0.00	5.80	0.00	2.88	0.00
8.73	0.00	5.70	0.00	2.97	0.00
8.91	0.00	5.40	0.00	2.97	0.00
9.09	0.00	5.20	0.00	2.97	0.00
9.27	0.00	5.70	0.00	3.06	0.00
9.45	0.00	6.00	0.00	3.06	0.00
9.54	0.00	6.10	0.00	3.15	0.00
9.54	0.00	5.50	0.00	3.06	0.00
25.02	0.00	7.10	0.00	13.59	0.00
22.59	0.00	6.30	0.00	11.97	0.00
20.34	0.00	6.00	0.00	10.44	0.00
18.72	0.00	5.10	0.00	9.72	0.00
17.28	0.00	4.80	0.00	8.91	0.00
15.57	0.18	4.40	0.00	7.92	0.00
14.94	0.18	4.30	0.00	7.56	0.00
12.96	0.36	3.90	0.00	6.21	0.00
12.42	0.36	4.30	0.00	5.58	0.00
